marital_status,application_mode,application_order,course,attendance,prev_qualification,nationality,displaced,debtor,tuition,gender,scholarship,international,units_1_credited,units_1_enrolled,units_1_approved,units_1_grade,units_2_credited,units_2_enrolled,units_2_approved,units_2_grade,unemployment_rate,inflation_rate,gdp,target
1,17,5,171,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,11,1,2,Dropout
1,15,1,9254,1,1,1,1,0,0,1,0,0,0,6,6,14,0,6,6,14,14,0,1,Graduate
1,1,5,9070,1,1,1,1,0,0,1,0,0,0,6,0,0,0,6,0,0,11,1,2,Dropout
1,17,2,9773,1,1,1,1,0,1,0,0,0,0,6,6,13,0,6,5,12,9,-1,-3,Graduate
2,39,1,8014,0,1,1,0,0,1,0,0,0,0,6,5,12,0,6,6,13,14,0,1,Graduate
2,39,1,9991,0,19,1,0,1,1,1,0,0,0,5,5,12,0,5,5,12,16,0,-1,Graduate
1,1,1,9500,1,1,1,1,0,1,0,1,0,0,7,7,13,0,8,8,14,16,3,-4,Graduate
1,18,4,9254,1,1,1,1,0,0,1,0,0,0,5,0,0,0,5,0,0,16,3,-4,Dropout
1,1,3,9238,1,1,62,0,0,1,0,1,1,0,6,6,14,0,6,6,14,16,0,-1,Graduate
1,1,1,9238,1,1,1,1,1,0,0,0,0,0,6,5,11,0,6,2,14,9,1,4,Dropout
1,1,1,9670,1,1,1,1,0,1,0,0,0,0,6,6,12,0,6,5,14,14,0,1,Graduate
1,1,1,9500,1,1,1,1,0,1,0,1,0,0,8,7,13,0,8,7,13,13,4,-2,Graduate
1,1,2,9853,1,1,1,1,0,1,0,0,0,0,6,0,0,0,6,0,0,13,4,-2,Dropout
1,53,1,9254,1,42,1,1,0,1,0,1,0,0,6,6,11,0,6,5,11,9,1,4,Graduate
1,1,1,9085,1,1,1,1,0,1,0,1,0,0,5,4,13,0,5,5,12,11,1,2,Graduate
1,1,1,9773,1,1,1,1,0,1,0,0,0,0,6,5,13,0,6,0,0,16,3,-4,Dropout
1,18,1,9238,1,1,1,1,0,1,0,0,0,0,6,1,12,0,6,2,11,11,1,2,Enrolled
1,17,2,9500,1,1,1,1,0,1,0,0,0,0,7,7,13,0,8,8,15,16,3,-4,Graduate
1,1,1,9130,1,1,1,1,0,1,0,0,0,0,5,4,13,0,5,4,12,11,1,2,Graduate
