marital_status,application_mode,application_order,course,attendance,prev_qualification,prev_qualification_grade,nationality,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,special_needs,debtor,tuition,gender,scholarship,age,international,units_1_credited,units_1_enrolled,units_1_evaluations,units_1_approved,units_1_grade,units_1_wo_evaluations,units_2_credited,units_2_enrolled,units_2_evaluations,units_2_approved,units_2_grade,units_2_wo_evaluations,unemployment_rate,inflation_rate,gdp,target
1,17,5,171,1,1,122,1,19,12,5,9,127,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,Dropout
1,15,1,9254,1,1,160,1,1,3,3,3,143,1,0,0,0,1,0,20,0,0,6,6,6,14,0,0,6,6,6,14,0,14,0,1,Graduate
1,1,5,9070,1,1,122,1,37,37,9,9,125,1,0,0,0,1,0,20,0,0,6,0,0,0,0,0,6,0,0,0,0,11,1,2,Dropout
1,17,2,9773,1,1,122,1,38,37,5,3,120,1,0,0,1,0,0,20,0,0,6,8,6,13,0,0,6,10,5,12,0,9,-1,-3,Graduate
2,39,1,8014,0,1,100,1,37,38,9,9,142,0,0,0,1,0,0,45,0,0,6,9,5,12,0,0,6,6,6,13,0,14,0,1,Graduate
2,39,1,9991,0,19,133,1,37,37,9,7,115,0,0,1,1,1,0,50,0,0,5,10,5,12,0,0,5,17,5,12,5,16,0,-1,Graduate
1,1,1,9500,1,1,142,1,19,38,7,10,128,1,0,0,1,0,1,20,0,0,7,9,7,13,0,0,8,8,8,14,0,16,3,-4,Graduate
1,18,4,9254,1,1,119,1,37,37,9,9,113,1,0,0,0,1,0,20,0,0,5,5,0,0,0,0,5,5,0,0,0,16,3,-4,Dropout
1,1,3,9238,1,1,137,62,1,1,9,9,129,0,0,0,1,0,1,20,1,0,6,8,6,14,0,0,6,7,6,14,0,16,0,-1,Graduate
1,1,1,9238,1,1,138,1,1,19,4,7,123,1,0,1,0,0,0,20,0,0,6,9,5,11,0,0,6,14,2,14,0,9,1,4,Dropout
1,1,1,9670,1,1,139,1,38,19,5,7,131,1,0,0,1,0,0,20,0,0,6,6,6,12,0,0,6,7,5,14,0,14,0,1,Graduate
1,1,1,9500,1,1,136,1,19,38,9,9,119,1,0,0,1,0,1,20,0,0,8,8,7,13,0,0,8,8,7,13,0,13,4,-2,Graduate
1,1,2,9853,1,1,133,1,19,37,4,9,130,1,0,0,1,0,0,20,0,0,6,6,0,0,0,0,6,0,0,0,0,13,4,-2,Dropout
1,53,1,9254,1,42,110,1,1,1,4,7,112,1,0,0,1,0,1,20,0,0,6,7,6,11,0,0,6,8,5,11,0,9,1,4,Graduate
1,1,1,9085,1,1,149,1,38,37,5,5,137,1,0,0,1,0,1,20,0,0,5,7,4,13,0,0,5,5,5,12,0,11,1,2,Graduate
1,1,1,9773,1,1,127,1,19,37,9,3,121,1,0,0,1,0,0,20,0,0,6,6,5,13,0,0,6,7,0,0,0,16,3,-4,Dropout
1,18,1,9238,1,1,137,1,19,38,5,8,137,1,0,0,1,0,0,20,0,0,6,10,1,12,0,0,6,14,2,11,0,11,1,2,Enrolled
1,17,2,9500,1,1,135,1,19,1,5,4,127,1,0,0,1,0,0,20,0,0,7,8,7,13,0,0,8,8,8,15,0,16,3,-4,Graduate
1,1,1,9130,1,1,137,1,3,19,3,5,136,1,0,0,1,0,0,20,0,0,5,8,4,13,1,0,5,8,4,12,2,11,1,2,Graduate
1,1,1,9853,1,1,140,1,19,19,7,7,125,1,0,0,1,0,0,20,0,0,7,7,6,12,0,0,7,8,6,14,0,16,0,-1,Enrolled
1,1,3,171,1,1,122,1,1,1,9,8,120,0,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,Graduate
1,18,4,9556,1,1,127,1,1,38,4,7,122,1,0,0,1,0,0,20,0,0,7,14,7,11,0,0,8,9,8,11,0,13,4,-2,Enrolled
1,1,4,9500,1,1,142,1,19,19,1,1,126,1,0,0,1,0,0,20,0,0,8,12,7,13,0,0,8,12,7,13,0,13,4,-2,Graduate
1,1,4,9670,1,1,125,1,1,38,4,7,115,1,0,0,1,0,1,20,0,0,6,8,6,13,0,0,6,7,6,12,0,11,1,2,Graduate
1,1,1,9500,1,1,126,1,19,19,3,7,124,0,0,0,1,0,0,20,0,0,7,8,6,13,0,0,8,9,7,14,0,11,1,2,Graduate
1,1,1,9238,1,1,151,1,19,38,9,9,157,1,0,1,1,0,1,20,0,0,6,8,5,12,0,0,6,12,4,11,0,8,3,0,Enrolled
1,17,2,9238,1,1,115,1,19,38,7,8,116,1,0,0,1,0,0,20,0,0,6,9,6,11,0,0,6,9,6,13,0,16,0,-1,Graduate
1,1,1,9085,1,1,138,1,19,19,3,3,131,1,0,0,1,0,0,20,0,0,5,9,5,13,2,0,5,7,4,13,0,9,-1,-3,Enrolled
1,1,1,9147,1,1,135,1,19,1,9,9,122,1,0,0,1,0,0,20,0,0,5,6,5,12,0,0,5,6,5,12,0,16,0,-1,Graduate
1,17,2,9500,1,1,127,1,3,3,1,10,119,1,0,0,1,1,0,20,0,0,7,9,6,13,0,0,7,7,6,14,0,16,0,-1,Enrolled
1,44,1,9003,1,39,150,1,4,5,4,2,150,0,0,0,1,1,0,20,0,0,6,15,5,12,0,0,6,17,5,11,0,16,0,-1,Enrolled
1,51,1,9070,1,1,125,1,42,3,125,124,130,1,0,0,1,1,0,20,0,2,6,7,6,13,0,0,6,9,4,13,0,9,1,4,Graduate
1,1,1,9147,1,1,143,1,1,1,4,6,139,0,0,0,0,1,0,20,0,0,5,9,3,11,0,0,5,8,2,14,0,9,1,4,Enrolled
1,18,1,8014,0,1,138,1,19,1,9,5,135,1,0,0,1,0,0,20,0,0,6,6,6,13,0,0,6,8,6,14,0,12,1,2,Graduate
1,1,1,9991,0,1,130,1,2,37,3,9,131,0,0,0,1,1,0,35,0,0,5,6,5,12,0,0,5,9,5,13,0,14,0,1,Graduate
1,39,1,33,1,1,130,1,38,37,9,6,103,0,0,1,0,1,0,35,0,0,7,7,0,0,0,0,7,7,1,10,0,9,1,4,Dropout
1,39,1,9119,1,10,133,1,34,37,0,0,129,1,0,0,1,1,0,45,0,0,5,0,0,0,0,0,5,0,0,0,0,8,3,0,Dropout
1,43,1,9147,1,1,140,1,37,37,6,6,123,0,0,0,1,0,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16,0,-1,Dropout
4,39,1,9991,0,1,120,1,19,19,9,3,114,1,0,0,1,0,0,40,0,0,5,8,5,11,0,0,5,5,5,12,0,8,3,0,Graduate
1,44,1,9130,1,39,120,6,4,4,3,6,120,0,0,1,0,0,0,20,1,2,6,13,3,12,0,1,6,11,3,12,0,12,1,2,Dropout
1,1,5,9773,1,1,126,1,3,3,2,2,121,0,0,1,1,0,0,20,0,0,6,6,4,13,0,0,5,5,0,0,0,13,4,-2,Dropout
1,1,2,9147,1,1,133,1,3,19,2,7,120,1,0,0,1,0,0,20,0,0,5,5,5,15,0,0,5,5,5,16,0,9,1,4,Graduate
1,1,6,9500,1,1,103,1,1,3,2,2,101,1,1,0,1,0,0,20,0,0,7,9,5,14,0,0,8,9,7,14,0,11,1,2,Graduate
1,17,1,9773,1,1,120,1,1,38,5,5,121,0,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,14,0,12,1,2,Dropout
1,39,1,9991,0,1,133,1,37,37,9,9,110,0,0,0,1,0,0,30,0,0,5,0,0,0,0,0,5,0,0,0,0,16,0,-1,Dropout
1,17,1,9991,0,1,154,1,38,38,4,5,134,0,0,0,1,0,0,25,0,0,5,9,2,12,0,0,5,11,3,14,1,8,3,0,Enrolled
1,17,2,9238,1,1,130,1,19,19,9,9,128,1,0,0,1,0,0,20,0,0,6,6,6,12,0,0,6,8,5,13,0,11,1,2,Graduate
1,17,6,9500,1,1,132,1,37,19,7,7,132,1,0,0,1,0,1,20,0,0,7,8,6,14,0,0,8,9,7,14,0,11,1,2,Graduate
1,44,1,8014,0,39,130,1,1,19,9,9,133,0,0,0,1,0,1,20,0,3,6,6,6,12,0,2,6,7,6,13,0,12,1,2,Graduate
1,1,1,9238,1,1,139,1,37,38,9,9,126,0,0,0,1,0,1,20,0,0,6,7,5,12,0,0,6,7,6,13,0,13,4,-2,Graduate
1,39,1,9254,1,1,130,1,19,38,9,7,114,0,0,0,1,0,1,25,0,0,6,6,6,14,0,0,6,6,6,14,0,12,1,2,Graduate
1,1,1,9500,1,1,139,1,37,38,6,6,121,1,0,0,1,0,1,20,0,0,8,10,6,12,0,0,8,10,6,12,0,9,-1,-3,Enrolled
1,1,1,9773,1,1,127,1,1,19,7,7,122,1,0,0,1,0,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9,-1,-3,Enrolled
1,1,3,9130,1,1,167,1,37,37,90,90,159,0,0,0,1,0,0,20,0,0,5,7,5,15,0,0,5,5,5,16,0,8,3,0,Graduate
